image,text
images/airplane_001.jpg,Two larger planes and a smaller plane parked on the open area .
images/airplane_001.jpg,Two larger airplanes and one smaller airplane are parked at the airport .
images/airplane_001.jpg,Two airplanes and one smaller plane were parked in the open space .
images/airplane_001.jpg,Three airplanes are parked on the open place .
images/airplane_001.jpg,There are three planes on the ground .
images/airplane_003.jpg,A white plane with the red mark parked on the open area .
images/airplane_003.jpg,An airplane with red lines docked on the runway .
images/airplane_003.jpg,An airplane with a red pattern was parked in the open space .
images/airplane_003.jpg,There is a white plane on the runway .
images/airplane_003.jpg,An airplane is on wired ground divided into equal areas .
